16:35:35.592 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:35.809 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:36.028 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:36.246 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:36.465 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:36.683 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:36.903 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:37.124 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:37.346 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:37.566 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:37.785 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:38.004 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:38.221 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:38.439 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:38.656 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:38.876 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:39.094 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:39.314 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:39.534 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:39.754 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:39.971 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:40.190 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:40.407 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:40.626 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
